2018-07-10 00:00:22.926 [restartedMain] INFO  com.njfu.selection.SelectionApplication - Started SelectionApplication in 25.256 seconds (JVM running for 31.782)
2018-07-10 00:00:28.130 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - URL=http://127.0.0.1:1314/lvxz/
2018-07-10 00:00:28.130 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - method=GET
2018-07-10 00:00:28.134 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - IP=127.0.0.1
2018-07-10 00:00:28.142 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - class_method=class com.njfu.selection.controller.HtmlController.login1Page
2018-07-10 00:00:28.146 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - args={}
2018-07-10 00:00:28.158 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - 127.0.0.1------End of the visits------
2018-07-10 00:00:40.449 [http-nio-1314-exec-8] INFO  com.njfu.selection.aspect.HttpAspect - URL=http://127.0.0.1:1314/lvxz/teacher/login
2018-07-10 00:00:40.449 [http-nio-1314-exec-8] INFO  com.njfu.selection.aspect.HttpAspect - method=POST
2018-07-10 00:00:40.449 [http-nio-1314-exec-8] INFO  com.njfu.selection.aspect.HttpAspect - IP=127.0.0.1
2018-07-10 00:00:40.449 [http-nio-1314-exec-8] INFO  com.njfu.selection.aspect.HttpAspect - class_method=class com.njfu.selection.controller.TeacherController.teacherLogin
2018-07-10 00:00:40.449 [http-nio-1314-exec-8] INFO  com.njfu.selection.aspect.HttpAspect - args={"teacherID":150804205,"password":"123456"}
2018-07-10 00:00:40.969 [http-nio-1314-exec-8] INFO  com.njfu.selection.aspect.HttpAspect - 127.0.0.1------End of the visits------
2018-07-10 00:00:42.350 [http-nio-1314-exec-9] INFO  com.njfu.selection.aspect.HttpAspect - URL=http://127.0.0.1:1314/lvxz/index_teacher
2018-07-10 00:00:42.350 [http-nio-1314-exec-9] INFO  com.njfu.selection.aspect.HttpAspect - method=GET
2018-07-10 00:00:42.350 [http-nio-1314-exec-9] INFO  com.njfu.selection.aspect.HttpAspect - IP=127.0.0.1
2018-07-10 00:00:42.350 [http-nio-1314-exec-9] INFO  com.njfu.selection.aspect.HttpAspect - class_method=class com.njfu.selection.controller.HtmlController.indexTeacherPage
2018-07-10 00:00:42.350 [http-nio-1314-exec-9] INFO  com.njfu.selection.aspect.HttpAspect - args={}
2018-07-10 00:00:42.354 [http-nio-1314-exec-9] INFO  com.njfu.selection.aspect.HttpAspect - 127.0.0.1------End of the visits------
2018-07-10 00:00:44.856 [http-nio-1314-exec-10] INFO  com.njfu.selection.aspect.HttpAspect - URL=http://127.0.0.1:1314/lvxz/apply_teacher
2018-07-10 00:00:44.856 [http-nio-1314-exec-10] INFO  com.njfu.selection.aspect.HttpAspect - method=GET
2018-07-10 00:00:44.860 [http-nio-1314-exec-10] INFO  com.njfu.selection.aspect.HttpAspect - IP=127.0.0.1
2018-07-10 00:00:44.860 [http-nio-1314-exec-10] INFO  com.njfu.selection.aspect.HttpAspect - class_method=class com.njfu.selection.controller.HtmlController.applyTeacherPage
2018-07-10 00:00:44.860 [http-nio-1314-exec-10] INFO  com.njfu.selection.aspect.HttpAspect - args={}
2018-07-10 00:00:44.860 [http-nio-1314-exec-10] INFO  com.njfu.selection.aspect.HttpAspect - 127.0.0.1------End of the visits------
2018-07-10 00:02:55.559 [restartedMain] INFO  com.njfu.selection.SelectionApplication - Starting SelectionApplication on DESKTOP-3QHTQE7 with PID 7724 (D:\OneDrive\WorkStations\intellij_workspace\selection\target\classes started by Lenovo in D:\OneDrive\WorkStations\intellij_workspace\selection)
2018-07-10 00:02:55.589 [restartedMain] INFO  com.njfu.selection.SelectionApplication - No active profile set, falling back to default profiles: default
2018-07-10 00:03:17.006 [restartedMain] INFO  com.njfu.selection.SelectionApplication - Started SelectionApplication in 23.727 seconds (JVM running for 29.334)
2018-07-10 00:03:23.716 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - URL=http://127.0.0.1:1314/lvxz/apply_teacher
2018-07-10 00:03:23.716 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - method=GET
2018-07-10 00:03:23.716 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - IP=127.0.0.1
2018-07-10 00:03:23.720 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - class_method=class com.njfu.selection.controller.HtmlController.applyTeacherPage
2018-07-10 00:03:23.724 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - args={}
2018-07-10 00:03:23.744 [http-nio-1314-exec-1] INFO  com.njfu.selection.aspect.HttpAspect - 127.0.0.1------End of the visits------
2018-07-10 00:03:25.648 [http-nio-1314-exec-5] INFO  com.njfu.selection.aspect.HttpAspect - URL=http://127.0.0.1:1314/lvxz/teacher/myself_design
2018-07-10 00:03:25.648 [http-nio-1314-exec-5] INFO  com.njfu.selection.aspect.HttpAspect - method=POST
